# Design Lore entry index (all skills) — regenerate with `python3 lore.py index`
# id	prefix	skill	file	title	topic	tags
ab-003	ab	ai-ux	skill-ai-ux/lore/46-ai-behaviour-evaluation.jsonl	Error Personality — How It Behaves When It Is Wrong	error-personality	ai,errors,trust,persona,copy,evaluation
ab-004	ab	ai-ux	skill-ai-ux/lore/46-ai-behaviour-evaluation.jsonl	Behavioural Consistency — Being the Same System Twice	behavioural-consistency	ai,consistency,output-format,evaluation,persona
ab-005	ab	ai-ux	skill-ai-ux/lore/46-ai-behaviour-evaluation.jsonl	Failure Taxonomy — Naming What Goes Wrong	failure-taxonomy	ai,failure-taxonomy,evaluation,quality,metrics
ab-006	ab	ai-ux	skill-ai-ux/lore/46-ai-behaviour-evaluation.jsonl	Output Quality Rubrics — Making 'Good' Checkable	output-quality-rubrics	ai,rubrics,evaluation,quality,metrics
ab-007	ab	ai-ux	skill-ai-ux/lore/46-ai-behaviour-evaluation.jsonl	Measuring an AI Feature — Signals That Mean Something	ai-metrics	ai,metrics,evaluation,heart,analytics
ao-001	ao	ai-ux	skill-ai-ux/lore/47-ai-agent-orchestration.jsonl	Agent Role Design — Dividing the Work	agent-role-design	ai,agents,orchestration,architecture,roles
ao-002	ao	ai-ux	skill-ai-ux/lore/47-ai-agent-orchestration.jsonl	Task Decomposition — Splitting Work Well	task-decomposition	ai,agents,decomposition,orchestration,pipeline
ao-003	ao	ai-ux	skill-ai-ux/lore/47-ai-agent-orchestration.jsonl	Handoff Protocols — Where Multi-Agent Systems Fail	handoff-protocols	ai,agents,handoff,protocols,reliability
ao-004	ao	ai-ux	skill-ai-ux/lore/47-ai-agent-orchestration.jsonl	Human-in-the-Loop — Placing the Checkpoints	human-in-the-loop	ai,human-in-the-loop,approval,agents,safety
ao-005	ao	ai-ux	skill-ai-ux/lore/47-ai-agent-orchestration.jsonl	State Management and Observability in Agentic Systems	state-and-observability	ai,agents,state,observability,trace,transparency
ao-006	ao	ai-ux	skill-ai-ux/lore/47-ai-agent-orchestration.jsonl	Failure Recovery in Agentic Systems	failure-recovery	ai,agents,failure-recovery,reliability,transactions
ao-007	ao	ai-ux	skill-ai-ux/lore/47-ai-agent-orchestration.jsonl	Agentic System Anti-Patterns	agentic-antipatterns	ai,agents,anti-patterns,critique,orchestration
pa-001	pa	ai-ux	skill-ai-ux/lore/48-ai-prompt-architecture.jsonl	Why the Prompt Is a Design Surface	why-designers-write-prompts	ai,prompts,design,collaboration,system-prompt
pa-002	pa	ai-ux	skill-ai-ux/lore/48-ai-prompt-architecture.jsonl	System Prompt Structure	system-prompt-structure	ai,system-prompt,structure,prompts,reference
pa-003	pa	ai-ux	skill-ai-ux/lore/48-ai-prompt-architecture.jsonl	Constraint Specification — Making 'Good' Enforceable	constraint-specification	ai,constraints,prompts,output-format,ux-writing
pa-004	pa	ai-ux	skill-ai-ux/lore/48-ai-prompt-architecture.jsonl	Examples and Few-Shot Patterns	few-shot-and-examples	ai,few-shot,examples,prompts,persona,evaluation
pa-005	pa	ai-ux	skill-ai-ux/lore/48-ai-prompt-architecture.jsonl	Context Engineering — What to Put in the Window	context-engineering	ai,context,retrieval,rag,prompt-injection,memory
pa-006	pa	ai-ux	skill-ai-ux/lore/48-ai-prompt-architecture.jsonl	Reasoning Structure — When to Ask for Steps	chain-of-thought-and-structure	ai,reasoning,chain-of-thought,latency,transparency,agentic
pa-007	pa	ai-ux	skill-ai-ux/lore/48-ai-prompt-architecture.jsonl	Prompt Versioning and Change Management	prompt-versioning	ai,prompts,versioning,process,evaluation,governance
he-001	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Heuristic Evaluation — What It Is and What It Is Not	heuristic-evaluation-overview	heuristic-evaluation,usability,method,nielsen
he-002	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 1 — Visibility of System Status	nielsen-1-visibility	heuristic-evaluation,nielsen,feedback,system-status,crypto,shopify,ai
he-003	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 2 — Match Between System and the Real World	nielsen-2-real-world	heuristic-evaluation,nielsen,language,ux-writing,crypto,ai
he-004	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 3 — User Control and Freedom	nielsen-3-control-freedom	heuristic-evaluation,nielsen,undo,destructive-actions,crypto
he-005	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 4 — Consistency and Standards	nielsen-4-consistency	heuristic-evaluation,nielsen,consistency,jakobs-law,design-system
he-006	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 5 — Error Prevention	nielsen-5-error-prevention	heuristic-evaluation,nielsen,error-prevention,forms,validation,shopify
he-007	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 6 — Recognition Rather Than Recall	nielsen-6-recognition	heuristic-evaluation,nielsen,recognition,memory,ai,crypto
he-008	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 7 — Flexibility and Efficiency of Use	nielsen-7-flexibility	heuristic-evaluation,nielsen,efficiency,keyboard,power-users,ai
he-009	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 8 — Aesthetic and Minimalist Design	nielsen-8-minimalist	heuristic-evaluation,nielsen,minimalism,hierarchy,visual-design
he-010	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 9 — Help Users Recognise, Diagnose, and Recover From Errors	nielsen-9-error-recovery	heuristic-evaluation,nielsen,error-messages,ux-writing,crypto,ai
he-011	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Nielsen 10 — Help and Documentation	nielsen-10-help	heuristic-evaluation,nielsen,help,documentation,onboarding,ai
he-012	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Severity Ratings — Making Findings Actionable	severity-ratings	heuristic-evaluation,severity,prioritisation,method
he-013	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Running a Heuristic Evaluation — Full Protocol	running-an-evaluation	heuristic-evaluation,protocol,method,process
he-014	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Finding Format — How to Write a Usability Finding	finding-format	heuristic-evaluation,reporting,findings,communication
he-015	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Beyond Nielsen — Other Heuristic Sets Worth Using	other-heuristic-sets	heuristic-evaluation,shneiderman,gerhardt-powals,wcag,heart,frameworks
he-016	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	AI-Specific Heuristics — Evaluating Probabilistic Interfaces	ai-heuristics	heuristic-evaluation,ai,trust,evaluation,agentic
he-017	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Commerce-Specific Heuristics	ecommerce-heuristics	heuristic-evaluation,ecommerce,shopify,conversion,trust
he-018	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Crypto and Fintech-Specific Heuristics	crypto-heuristics	heuristic-evaluation,crypto,web3,fintech,trust,security
he-019	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Accessibility as a Heuristic Pass	accessibility-heuristics	heuristic-evaluation,accessibility,wcag,contrast,focus
he-020	he	critique	skill-critique/lore/40-heuristic-evaluation.jsonl	Running a Heuristic Evaluation on a Figma File	heuristic-evaluation-in-figma	heuristic-evaluation,figma,method,review,design-review
cr-001	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	How to Critique a Screen — The Standard Pass	critique-method	critique,method,review,process
cr-002	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Composition and Layout	critique-composition	critique,composition,layout,grid,gestalt
cr-003	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Visual Hierarchy	critique-visual-hierarchy	critique,visual-hierarchy,typography,emphasis
cr-004	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Typography	critique-typography	critique,typography,type-scale,measure,readability
cr-005	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Colour	critique-colour	critique,colour,contrast,dark-mode,tokens,accessibility
cr-006	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Spacing and Rhythm	critique-spacing	critique,spacing,rhythm,tokens,gestalt,auto-layout
cr-007	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Information Density	critique-density	critique,information-density,progressive-disclosure,dashboards,cognitive-load
cr-008	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Affordance and Interactivity	critique-affordance	critique,affordance,interaction-design,states,touch-targets,accessibility
cr-009	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Copy and UX Writing	critique-copy	critique,ux-writing,copy,microcopy,error-messages,ai
cr-010	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Brand Consistency	critique-brand-consistency	critique,brand,icons,consistency,design-system,shopify
cr-011	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Responsive and Cross-Device Behaviour	critique-responsive	critique,responsive,breakpoints,mobile,tables,shopify
cr-012	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — State Completeness	critique-states	critique,states,empty-state,error-states,loading,method
cr-013	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Task Efficiency and Conversion	critique-task-efficiency	critique,conversion,task-efficiency,forms,shopify,crypto
cr-014	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Data Display and Numbers	critique-data-display	critique,data-visualisation,numbers,tables,crypto,fintech
cr-015	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Critique — Motion	critique-motion-dimension	critique,motion,animation,performance,accessibility
cr-016	cr	critique	skill-critique/lore/41-critique-rubrics.jsonl	Turning a Critique Into a Plan	critique-scoring	critique,prioritisation,process,design-ops,communication
cx-001	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Running a Design Critique — Structure and Rules	critique-facilitation	critique,facilitation,design-ops,process,feedback
cx-002	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Feedback Language That Lands	feedback-language	critique,feedback,communication,language
cx-003	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Design Rationale — Making Decisions Defensible	design-rationale	critique,design-rationale,documentation,decision-making
cx-004	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Red-Teaming Your Own Design	red-team-your-design	critique,red-team,assumptions,research,decision-making
cx-005	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Pre-Mortem — Imagining the Failure First	pre-mortem	critique,pre-mortem,risk,process,team
cx-006	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Defending a Design Decision Without Being Defensive	defending-decisions	critique,stakeholders,communication,negotiation,influence
cx-007	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Framing Design Decisions in Product Terms	product-framing	critique,product,metrics,heart,rice,prioritisation,stakeholders
cx-008	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Critiquing AI-Generated Design Work	critiquing-ai-generated-design	critique,ai,generated-design,review,quality
cx-009	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Design Review Cadence — Quality Gates Without Bottlenecks	critique-cadence	critique,design-ops,review-process,cadence,governance
cx-010	cx	critique	skill-critique/lore/42-critique-practice.jsonl	Self-Critique — Reviewing Your Own Work	self-critique	critique,self-critique,method,technique
ds-001	ds	design	skill-design/lore/02-design-system.jsonl	Three-Layer Token Model Overview	token-architecture	tokens,architecture,primitives,semantics,components
ds-002	ds	design	skill-design/lore/02-design-system.jsonl	Primitive Tokens	token-architecture	tokens,primitives,raw-values
ds-003	ds	design	skill-design/lore/02-design-system.jsonl	Semantic Tokens	token-architecture	tokens,semantics,aliases,theming
ds-004	ds	design	skill-design/lore/02-design-system.jsonl	Component Tokens	token-architecture	tokens,components,application-specific
ds-005	ds	design	skill-design/lore/02-design-system.jsonl	Token Layer Rules	token-architecture	tokens,rules,best-practices
ds-006	ds	design	skill-design/lore/02-design-system.jsonl	Variable Types in Figma	variables	variables,types,color,number,string,boolean
ds-007	ds	design	skill-design/lore/02-design-system.jsonl	Variable Alias Mechanism	variables	variables,aliases,referencing,token-layering
ds-008	ds	design	skill-design/lore/02-design-system.jsonl	Variable Collections	variables	variables,collections,organization
ds-009	ds	design	skill-design/lore/02-design-system.jsonl	Variable Modes	variables	variables,modes,theming,responsive
ds-010	ds	design	skill-design/lore/02-design-system.jsonl	Applying and Inheriting Modes	variables	variables,modes,inheritance,frames
ds-011	ds	design	skill-design/lore/02-design-system.jsonl	Light/Dark Mode Setup Steps	theming	theming,light-mode,dark-mode,setup
ds-012	ds	design	skill-design/lore/02-design-system.jsonl	Light/Dark Mode Design Rules	theming	theming,dark-mode,contrast,accessibility
ds-013	ds	design	skill-design/lore/02-design-system.jsonl	Multi-Brand System Setup	theming	theming,multi-brand,white-label
ds-014	ds	design	skill-design/lore/02-design-system.jsonl	When to Use Styles vs Variables	styles-vs-variables	styles,variables,decision,comparison
ds-015	ds	design	skill-design/lore/02-design-system.jsonl	Color Styles	color	styles,color,fills,gradients
ds-016	ds	design	skill-design/lore/02-design-system.jsonl	Text Styles	typography	styles,typography,text,font
ds-017	ds	design	skill-design/lore/02-design-system.jsonl	Typography Line Height and Spacing	typography	typography,line-height,letter-spacing,paragraph
ds-018	ds	design	skill-design/lore/02-design-system.jsonl	Effect Styles — Shadows and Elevation	effects	styles,effects,shadows,elevation
ds-019	ds	design	skill-design/lore/02-design-system.jsonl	Elevation Scale Design	effects	elevation,shadows,z-index,depth
ds-020	ds	design	skill-design/lore/02-design-system.jsonl	Grid Styles and Breakpoints	grids	styles,grids,layout,responsive,columns
ds-021	ds	design	skill-design/lore/02-design-system.jsonl	Variable Scoping	variables	variables,scoping,properties,organization
ds-022	ds	design	skill-design/lore/02-design-system.jsonl	Variable Scoping Best Practices	variables	variables,scoping,best-practices
ds-023	ds	design	skill-design/lore/02-design-system.jsonl	Token Naming Conventions	naming	naming,conventions,tokens,organization
ds-024	ds	design	skill-design/lore/02-design-system.jsonl	Naming Rules and Anti-Patterns	naming	naming,rules,anti-patterns
ds-025	ds	design	skill-design/lore/02-design-system.jsonl	Library Publishing Workflow	library	library,publishing,updates,sharing
ds-026	ds	design	skill-design/lore/02-design-system.jsonl	Library Organization and Structure	library	library,organization,files,structure
ds-027	ds	design	skill-design/lore/02-design-system.jsonl	Design System Governance Model	governance	governance,ownership,process,contribution
ds-028	ds	design	skill-design/lore/02-design-system.jsonl	Design System Auditing	governance	governance,audit,quality,consistency
ds-029	ds	design	skill-design/lore/02-design-system.jsonl	Spacing Scale System	spacing	spacing,scale,variables,layout
ds-030	ds	design	skill-design/lore/02-design-system.jsonl	Spacing Application Patterns	spacing	spacing,padding,gap,auto-layout
ds-031	ds	design	skill-design/lore/02-design-system.jsonl	Color Palette Structure	color	color,palette,primitives,shades
ds-032	ds	design	skill-design/lore/02-design-system.jsonl	Semantic Color Mapping	color	color,semantic,mapping,theming
ds-033	ds	design	skill-design/lore/02-design-system.jsonl	Component Token Examples	components	tokens,components,button,input,card
ds-034	ds	design	skill-design/lore/02-design-system.jsonl	Theme Switching Implementation	theming	theming,modes,switching,frames
ds-035	ds	design	skill-design/lore/02-design-system.jsonl	Typography Variable Strategy	typography	typography,variables,styles,hybrid
ds-036	ds	design	skill-design/lore/02-design-system.jsonl	Creating Variables in Figma	variables	variables,creation,workflow,figma-ui
ds-037	ds	design	skill-design/lore/02-design-system.jsonl	Variable Groups via Slash Naming	variables	variables,groups,naming,organization
ds-038	ds	design	skill-design/lore/02-design-system.jsonl	Color Contrast Requirements	accessibility	accessibility,contrast,wcag,a11y
ds-039	ds	design	skill-design/lore/02-design-system.jsonl	Border Radius Scale	border-radius	border-radius,radius,scale,variables
ds-040	ds	design	skill-design/lore/02-design-system.jsonl	Icon and Touch Target Sizing	sizing	sizing,icons,touch-targets,accessibility
ds-041	ds	design	skill-design/lore/02-design-system.jsonl	Opacity Scale	opacity	opacity,transparency,variables
ds-042	ds	design	skill-design/lore/02-design-system.jsonl	Library Versioning and Updates	library	library,versioning,changelog,updates
ds-043	ds	design	skill-design/lore/02-design-system.jsonl	Density Modes (Compact/Comfortable)	theming	theming,density,compact,comfortable,modes
ds-044	ds	design	skill-design/lore/02-design-system.jsonl	Boolean Variables for Component Configuration	variables	variables,boolean,visibility,feature-flags
ds-045	ds	design	skill-design/lore/02-design-system.jsonl	Design System Maturity Checklist	design-system	maturity,checklist,completeness,audit
ds-046	ds	design	skill-design/lore/02-design-system.jsonl	Typography Variables — Setup Workflow (Variables + Styles Together)	typography	typography,variables,text-styles,workflow,font-size,line-height,font-family,font-weight
ds-047	ds	design	skill-design/lore/02-design-system.jsonl	Responsive Typography Modes — Desktop and Mobile in a Single Collection	typography	typography,modes,responsive,desktop,mobile,breakpoint,variables,font-size
ds-048	ds	design	skill-design/lore/02-design-system.jsonl	Typography Variable Types and Naming — String vs Number, T-Shirt Scale	typography	typography,variables,naming,string,number,t-shirt,scale,font-family,font-weight
ios-001	ios	design	skill-design/lore/04-ios-design.jsonl	iPhone 16 Pro Max screen size	device-screens	iphone,screen-size,device,16-pro-max
ios-002	ios	design	skill-design/lore/04-ios-design.jsonl	iPhone 16 Pro screen size	device-screens	iphone,screen-size,device,16-pro
ios-003	ios	design	skill-design/lore/04-ios-design.jsonl	iPhone 16 Plus screen size	device-screens	iphone,screen-size,device,16-plus
ios-004	ios	design	skill-design/lore/04-ios-design.jsonl	iPhone 16 and iPhone 15 standard screen size	device-screens	iphone,screen-size,device,16,15
ios-005	ios	design	skill-design/lore/04-ios-design.jsonl	iPhone 15 Pro Max and 14 Pro Max screen size	device-screens	iphone,screen-size,device,15-pro-max,14-pro-max
ios-006	ios	design	skill-design/lore/04-ios-design.jsonl	iPhone 14 Plus and iPhone 14 screen sizes	device-screens	iphone,screen-size,device,14-plus,14
ios-007	ios	design	skill-design/lore/04-ios-design.jsonl	iPhone SE 3rd gen screen size	device-screens	iphone,screen-size,device,se,legacy
ios-008	ios	design	skill-design/lore/04-ios-design.jsonl	iPad screen sizes	device-screens	ipad,screen-size,device,tablet
ios-009	ios	design	skill-design/lore/04-ios-design.jsonl	Primary artboard rule	device-screens	rule,artboard,figma,design
ios-010	ios	design	skill-design/lore/04-ios-design.jsonl	Safe area insets for iPhone 16 Pro models	safe-areas	safe-area,insets,16-pro,16-pro-max,dynamic-island
ios-011	ios	design	skill-design/lore/04-ios-design.jsonl	Safe area insets for iPhone 16/15/14 Pro	safe-areas	safe-area,insets,15,16,14-pro
ios-012	ios	design	skill-design/lore/04-ios-design.jsonl	Safe area rules	safe-areas	safe-area,rule,interactive,edge-to-edge
ios-013	ios	design	skill-design/lore/04-ios-design.jsonl	Dynamic Island dimensions and behavior	dynamic-island	dynamic-island,notch,status-bar,live-activities
ios-014	ios	design	skill-design/lore/04-ios-design.jsonl	Navigation bar dimensions	navigation	navigation-bar,nav-bar,large-title,header
ios-015	ios	design	skill-design/lore/04-ios-design.jsonl	Tab bar dimensions	navigation	tab-bar,bottom-nav,home-indicator
ios-016	ios	design	skill-design/lore/04-ios-design.jsonl	Home indicator, toolbar, and search bar	navigation	home-indicator,toolbar,search-bar
ios-017	ios	design	skill-design/lore/04-ios-design.jsonl	Minimum touch target sizes	touch-targets	touch-target,tap,accessibility,hig
ios-018	ios	design	skill-design/lore/04-ios-design.jsonl	SF Pro type scale — Large Title through Title 3	typography	typography,sf-pro,font,large-title,title
ios-019	ios	design	skill-design/lore/04-ios-design.jsonl	SF Pro type scale — Headline and Body	typography	typography,sf-pro,font,headline,body
ios-020	ios	design	skill-design/lore/04-ios-design.jsonl	SF Pro type scale — Subheadline through Caption	typography	typography,sf-pro,font,subheadline,footnote,caption
ios-021	ios	design	skill-design/lore/04-ios-design.jsonl	SF Pro font families and Dynamic Type	typography	typography,sf-pro,dynamic-type,accessibility,font-family
ios-022	ios	design	skill-design/lore/04-ios-design.jsonl	SF Symbols overview and usage	sf-symbols	sf-symbols,icons,symbols,system-icons
ios-023	ios	design	skill-design/lore/04-ios-design.jsonl	8pt grid system and content margins	grid	grid,spacing,layout,margins,8pt
ios-024	ios	design	skill-design/lore/04-ios-design.jsonl	Section spacing and list insets	grid	grid,spacing,section,list,padding
ios-025	ios	design	skill-design/lore/04-ios-design.jsonl	Standard corner radii for iOS components	corner-radius	corner-radius,rounded,squircle,buttons,cards
ios-026	ios	design	skill-design/lore/04-ios-design.jsonl	App icon and tab bar icon corner radius	corner-radius	corner-radius,app-icon,tab-bar,squircle
ios-027	ios	design	skill-design/lore/04-ios-design.jsonl	iOS system colors	color	color,system-colors,hig,palette
ios-028	ios	design	skill-design/lore/04-ios-design.jsonl	iOS semantic and background colors	color	color,semantic,background,label,separator
ios-029	ios	design	skill-design/lore/04-ios-design.jsonl	Grouped background colors	color	color,grouped-background,settings,table-view
ios-030	ios	design	skill-design/lore/04-ios-design.jsonl	Dark mode design principles	dark-mode	dark-mode,appearance,oled,contrast
ios-031	ios	design	skill-design/lore/04-ios-design.jsonl	Dark mode text, colors, and shadows	dark-mode	dark-mode,text,shadows,wcag,contrast
ios-032	ios	design	skill-design/lore/04-ios-design.jsonl	Bottom sheet and modal presentations	sheets	bottom-sheet,modal,sheet,detents,presentation
ios-033	ios	design	skill-design/lore/04-ios-design.jsonl	Modal and popover presentations	sheets	modal,popover,page-sheet,full-screen
ios-034	ios	design	skill-design/lore/04-ios-design.jsonl	List and table view row heights	lists	list,table-view,row-height,cell,separator
ios-035	ios	design	skill-design/lore/04-ios-design.jsonl	List styles and swipe actions	lists	list,grouped,inset-grouped,swipe,settings
ios-036	ios	design	skill-design/lore/04-ios-design.jsonl	Pull to refresh and infinite scroll	patterns	pull-to-refresh,infinite-scroll,loading,spinner
ios-037	ios	design	skill-design/lore/04-ios-design.jsonl	Action sheets and alerts	patterns	action-sheet,alert,dialog,modal
ios-038	ios	design	skill-design/lore/04-ios-design.jsonl	Context menus and haptic feedback	patterns	context-menu,long-press,haptics,3d-touch
ios-039	ios	design	skill-design/lore/04-ios-design.jsonl	Figma artboard and grid setup for iOS	figma-setup	figma,artboard,grid,setup,columns
ios-040	ios	design	skill-design/lore/04-ios-design.jsonl	Figma export settings for iOS	figma-setup	figma,export,retina,assets,scale
ios-041	ios	design	skill-design/lore/04-ios-design.jsonl	Navigation patterns and hierarchy	navigation	navigation,hierarchy,drill-down,flat
ios-042	ios	design	skill-design/lore/04-ios-design.jsonl	Thumb zone and reachability	touch-targets	thumb-zone,reachability,ergonomics,one-handed
ios-043	ios	design	skill-design/lore/04-ios-design.jsonl	iOS color usage rules	color	color,accessibility,semantic,rule
ios-044	ios	design	skill-design/lore/04-ios-design.jsonl	SF Symbols sizing and custom symbols	sf-symbols	sf-symbols,sizing,custom,template
ios-045	ios	design	skill-design/lore/04-ios-design.jsonl	Search patterns in iOS	patterns	search,search-bar,suggestions,scope
ios-046	ios	design	skill-design/lore/04-ios-design.jsonl	Onboarding and empty states	patterns	onboarding,empty-state,welcome,first-run
ios-047	ios	design	skill-design/lore/04-ios-design.jsonl	Keyboard dimensions and behavior	layout	keyboard,input,text-field,height
ios-048	ios	design	skill-design/lore/04-ios-design.jsonl	Status bar styles and behavior	layout	status-bar,time,battery,signal
ios-049	ios	design	skill-design/lore/04-ios-design.jsonl	iOS animation and motion principles	animation	animation,motion,transition,spring
ios-050	ios	design	skill-design/lore/04-ios-design.jsonl	iOS accessibility design requirements	accessibility	accessibility,a11y,voiceover,dynamic-type,contrast
an-001	an	design	skill-design/lore/05-android-design.jsonl	Compact Phone Screen Size	device-screens	screen-size,phone,compact,dp
an-002	an	design	skill-design/lore/05-android-design.jsonl	Standard Phone Screen Size — Primary Design Target	device-screens	screen-size,phone,pixel,primary
an-003	an	design	skill-design/lore/05-android-design.jsonl	Tablet Screen Sizes	device-screens	screen-size,tablet,dp
an-004	an	design	skill-design/lore/05-android-design.jsonl	Foldable Device Screen Sizes	device-screens	screen-size,foldable,pixel-fold
an-005	an	design	skill-design/lore/05-android-design.jsonl	Density Buckets for Asset Export	device-screens	density,dpi,export,assets
an-006	an	design	skill-design/lore/05-android-design.jsonl	Compact Width Window Size Class	window-size-classes	responsive,window-class,compact,layout
an-007	an	design	skill-design/lore/05-android-design.jsonl	Medium Width Window Size Class	window-size-classes	responsive,window-class,medium,layout
an-008	an	design	skill-design/lore/05-android-design.jsonl	Expanded Width Window Size Class	window-size-classes	responsive,window-class,expanded,layout
