# skill-figma-autolayout entry index — grep this before reading a module
# id	file	title	topic	tags
al-039	lore/01b-autolayout-advanced.jsonl	Redundant Nesting — Detection and Elimination	optimization	optimization,nesting,redundant,flatten,best-practice
al-040	lore/01b-autolayout-advanced.jsonl	Auto Layout Hierarchy Optimization — Flatten Where Possible	optimization	optimization,hierarchy,flatten,performance,layers
al-041	lore/01b-autolayout-advanced.jsonl	Single-Child Frame Anti-Pattern	optimization	optimization,single-child,anti-pattern,nesting,redundant
al-042	lore/01b-autolayout-advanced.jsonl	Avoiding Same-Direction Nested Auto Layouts	optimization	optimization,direction,nesting,same-direction,flatten
al-043	lore/01b-autolayout-advanced.jsonl	Dev Mode Output — How AL Choices Affect Generated CSS	optimization	optimization,dev-mode,css,code,handoff
al-044	lore/01b-autolayout-advanced.jsonl	Common Auto Layout Mistakes — Diagnosis and Fixes	optimization	optimization,mistakes,fixes,debugging,anti-patterns
al-045	lore/01b-autolayout-advanced.jsonl	Slots in Figma — How They Work	slots	slots,2025,components,placeholder,custom-content
al-046	lore/01b-autolayout-advanced.jsonl	Slots and Auto Layout — Sizing and Interaction	slots	slots,2025,auto-layout,sizing,fill,hug
al-047	lore/01b-autolayout-advanced.jsonl	Slots vs Instance Swap Properties — When to Use Each	slots	slots,instance-swap,components,properties,decision
al-048	lore/01b-autolayout-advanced.jsonl	Building a Component with a Slot — Step-by-Step	slots	slots,2025,recipe,workflow,components
al-049	lore/01c-component-recipes.jsonl	Button AL Structure — All Variants Optimized	recipe	button,recipe,component,sizing,padding,icon,full-width
al-050	lore/01c-component-recipes.jsonl	Input Field AL Structure — Input Frame Only	recipe	input,recipe,component,sizing,placeholder,icon,field
al-051	lore/01c-component-recipes.jsonl	Form Field Group — Label + Input + Helper Text	recipe	form,field,label,helper,error,recipe,group,vertical
al-052	lore/01c-component-recipes.jsonl	Checkbox and Radio Button AL Structure	recipe	checkbox,radio,recipe,component,label,selection,control
al-053	lore/01c-component-recipes.jsonl	Badge, Tag, and Chip AL Structure	recipe	badge,tag,chip,recipe,component,pill,sizing
al-054	lore/01c-component-recipes.jsonl	List Item AL Structure — Icon + Content + Action	recipe	list,list-item,recipe,component,avatar,trailing,action
al-055	lore/01c-component-recipes.jsonl	Modal and Dialog AL Structure	recipe	modal,dialog,recipe,component,overlay,scroll,header,footer
al-056	lore/01c-component-recipes.jsonl	Icon Button AL Structure	recipe	icon-button,recipe,component,touch-target,fixed,sizing
al-057	lore/01c-component-recipes.jsonl	Alert and Banner AL Structure	recipe	alert,banner,notification,recipe,component,icon,action
al-058	lore/01c-component-recipes.jsonl	Toggle / Switch AL Structure	recipe	toggle,switch,recipe,component,boolean,interactive
al-059	lore/01c-component-recipes.jsonl	Bottom Navigation Bar — Mobile AL Structure	recipe	bottom-nav,navigation,mobile,recipe,tab-bar,ios,android
al-060	lore/01c-component-recipes.jsonl	Avatar with Status Badge — Absolute Position Pattern	recipe	avatar,badge,status,absolute,recipe,component,overlap
