# skill-design-system entry index — grep this before reading a module
# id	file	title	topic	tags
ds-046	lore/02-design-system.jsonl	Typography Variables — Setup Workflow (Variables + Styles Together)	typography	typography,variables,text-styles,workflow,font-size,line-height,font-family,font-weight
ds-047	lore/02-design-system.jsonl	Responsive Typography Modes — Desktop and Mobile in a Single Collection	typography	typography,modes,responsive,desktop,mobile,breakpoint,variables,font-size
ds-048	lore/02-design-system.jsonl	Typography Variable Types and Naming — String vs Number, T-Shirt Scale	typography	typography,variables,naming,string,number,t-shirt,scale,font-family,font-weight
ca-001	lore/colour-advanced.jsonl	OKLCH — The Modern Colour Space for Design Systems	oklch	oklch,colour-space,perceptual,modern,css-color-4,oklab
ca-002	lore/colour-advanced.jsonl	OKLCH vs HSL — Why the Difference Matters	oklch	oklch,hsl,comparison,perceptual,uniform,lightness,colour-scale
ca-003	lore/colour-advanced.jsonl	Building Colour Scales with OKLCH — Step by Step	oklch	oklch,colour-scale,palette,construction,steps,perceptual,chroma
ca-004	lore/colour-advanced.jsonl	OKLCH in Figma and CSS — Practical Usage	oklch	oklch,figma,css,css-color-4,implementation,variables,handoff
ca-005	lore/colour-advanced.jsonl	Dark Mode Strategies — Dark Elevated vs Dark Deep	colour-system	dark-mode,dark-elevated,dark-deep,strategy,surface,elevation
ca-006	lore/colour-advanced.jsonl	Linear Progression Palette — 48-Step Neutral Scale	colour-system	colour-system,neutral,48-step,linear,lightness,increments,palette
ca-007	lore/colour-advanced.jsonl	Accent Palette Architecture — 16 Colours × 9 Shades	colour-system	colour-system,accent,palette,architecture,shades,brand,semantic
ca-008	lore/colour-advanced.jsonl	Shade Contrast Rules — Which Shade for Which Purpose	colour-system	colour-system,contrast,shades,wcag,interactive,border,tint,text
ca-009	lore/colour-advanced.jsonl	60-30-10 Rule Applied to Design System Tokens	colour-system	colour-system,60-30-10,rule,composition,tokens,cadence,surface,accent
ca-010	lore/colour-advanced.jsonl	Utility Colours — Opacity and Theme-Dependent Values	colour-system	colour-system,utility,opacity,overlay,tint,theme,transparency
ct-007	lore/colour-system.jsonl	Colour Systems — Primitives, Semantics, and Components	colour-in-design-systems	colour-system,design-tokens,semantic,primitive,dark-mode,white-label
ct-008	lore/colour-system.jsonl	Building a UI Colour Palette — Steps and Principles	colour-palette-construction	palette-construction,colour-scale,semantic-colour,surface,wcag
ct-009	lore/colour-system.jsonl	Colour in Dark Mode — More Than Just Inversion	colour-dark-mode	dark-mode,colour,surface-elevation,saturation,tokens,material-design,apple-hig
ct-004	lore/colour-system.jsonl	Colour Contrast for Accessibility and Readability	colour-contrast-accessibility	contrast,wcag,accessibility,colour-blindness,readability
ct-011	lore/colour-system.jsonl	Colour in Branding — Owning a Colour	colour-branding	branding,colour,recognition,brand-identity,cadence,60-30-10
do-002	lore/governance.jsonl	Design QA Checklist — Verifying Implementation Accuracy	design-qa-checklist	qa,checklist,implementation,verification,cross-platform,design-ops
do-003	lore/governance.jsonl	Design Review Process — Quality Gates Without Bottlenecks	design-review-process	review-process,gates,quality,approval,workflow,design-ops
do-005	lore/governance.jsonl	Developer Handoff — Complete Implementation Specifications	handoff-spec	handoff,developer,specification,tokens,responsive,accessibility,design-ops
do-007	lore/governance.jsonl	Design Version Control — Files, Libraries, and Tokens	version-control-design	version-control,semantic-versioning,branching,changelog,libraries,design-ops
nc-001	lore/naming-conventions.jsonl	W3C DTCG Format — The Universal Token Standard	naming	dtcg,w3c,standard,json,format,token-studio,style-dictionary
nc-002	lore/naming-conventions.jsonl	Neutral Colour Naming — Fills, Strokes, Alt Model	naming	naming,neutral,fills,strokes,alt,overlay,background,palette
nc-003	lore/naming-conventions.jsonl	State Naming Conventions — Interactive States	naming	naming,states,hover,active,focus,disabled,selected,pressed
nc-004	lore/naming-conventions.jsonl	Token Scale Conventions — Numeric vs T-Shirt vs Named	naming	naming,scale,numeric,t-shirt,xs,xl,100-900,convention
nc-005	lore/naming-conventions.jsonl	Component Token Naming Patterns	naming	naming,component-tokens,button,input,card,slots
nc-006	lore/naming-conventions.jsonl	Variable Collection and Mode Naming	naming	naming,collections,modes,figma,organization,hierarchy
nc-007	lore/naming-conventions.jsonl	Boolean Variable Naming Patterns	naming	naming,boolean,visibility,show,has,feature-flag
nc-008	lore/naming-conventions.jsonl	Grid and Layout Token Naming	naming	naming,grid,columns,gutter,margin,breakpoint,layout
nc-009	lore/naming-conventions.jsonl	Slash Hierarchy Depth and Grouping Strategy	naming	naming,slash,hierarchy,depth,groups,organization,figma
ty-006	lore/typography-system.jsonl	Type Scale — Building a Systematic Hierarchy	type-scale	type-scale,hierarchy,modular-scale,golden-ratio,design-systems
ty-009	lore/typography-system.jsonl	Font Pairing — Principles and Strategy	type-pairing	font-pairing,typography,hierarchy,serif,sans-serif,design-systems
ty-010	lore/typography-system.jsonl	Variable Fonts — The Future of Type in UI	variable-fonts	variable-fonts,performance,animation,figma,type-technology
ty-011	lore/typography-system.jsonl	Type and Accessibility — Contrast, Size, and Legibility	type-contrast-accessibility	accessibility,wcag,contrast,legibility,type-size,dyslexia
ty-014	lore/typography-system.jsonl	Typography in Design Systems — Tokens and Scale	type-in-ui-systems	design-systems,tokens,typography,naming,figma,semantic
ty-015	lore/typography-system.jsonl	Text Style Naming — Bold and Weight Variants with Nested Slash Hierarchy	text-style-naming-bold-variants	text-styles,naming,bold,semibold,weight,variables,typography,design-systems,slash-naming
